Var1,Freq,names.mytab.
"Apps,Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",9,"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Newspaper,Word of mouth",2,"Apps,Online,Cable television,Newspaper,Word of mouth"
"Apps,Online,Cable television,Radio",3,"Apps,Online,Cable television,Radio"
"Apps,Online,Cable television,Radio,Newspaper",2,"Apps,Online,Cable television,Radio,Newspaper"
"Apps,Online,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Apps,Online,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",6,"Apps,Online,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",5,"Apps,Online,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Radio,Newspaper,Word of mouth",3,"Apps,Online,Cable television,Radio,Newspaper,Word of mouth"
"Apps,Online,Cable television,Radio,Print Magazine",1,"Apps,Online,Cable television,Radio,Print Magazine"
"Apps,Online,Cable television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Cable television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper",2,"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper"
"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Not applicable",1,"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Not applicable"
"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine",1,"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine"
"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Online,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
